"","t","estimate","conf.low","conf.high","method"
"1",-3,-0.674550700604678,-2.68793555749137,1.33883415628201,"Stacked"
"2",-2,-2.51902326404933,-4.53631386391686,-0.501732664181785,"Stacked"
"3",-1,-1.82083576239233,-3.85085065356369,0.209179128779033,"Stacked"
"4",0,0.13312537014513,-1.83813730373287,2.10438804402313,"Stacked"
"5",1,1.2895893042026,-0.676070284777274,3.25524889318248,"Stacked"
"6",2,3.28061848971947,1.33528903895536,5.22594794048358,"Stacked"
"7",3,5.49558184556508,3.52649344365579,7.46467024747438,"Stacked"
"8",4,7.84658671505144,5.89475226523497,9.7984211648679,"Stacked"
"9",5,10.0714889165666,8.09226377850003,12.0507140546332,"Stacked"
"10",6,14.236931535677,12.0496901543768,16.4241729169771,"Stacked"
"11",7,17.637366265222,15.1236431470556,20.1510893833884,"Stacked"
"12",-4,0,0,0,"Stacked"
"13",-999,0,0,0,"Stacked"
