t,estimate,conf.low,conf.high,method
-3,-1.03567913906647,-2.78671863949136,0.715360361358421,TWFE
-2,-3.01869101901846,-4.85993533935485,-1.17744669868207,TWFE
-1,-2.80616134885387,-4.75265968238818,-0.859663015319572,TWFE
0,-1.15589744865356,-3.0504748158855,0.738679918578375,TWFE
1,-0.448035510195044,-2.35769255386915,1.46162153347906,TWFE
2,1.67619929467593,-0.208528471653551,3.56092706100541,TWFE
3,3.9210983275194,2.00246828211498,5.83972837292383,TWFE
4,6.60604360647212,4.68692975255797,8.52515746038626,TWFE
5,9.43627806613417,7.47639812865836,11.39615800361,TWFE
6,13.9944050182473,11.8158670130746,16.1729430234199,TWFE
7,18.3676124178192,15.850311468787,20.8849133668514,TWFE
-4,0,0,0,TWFE
-4,0,0,0,ETWFE
0,2.29837708886215,0.321059066498756,4.27569511122554,ETWFE
1,3.3610029307166,1.43704026878628,5.28496559264691,ETWFE
2,5.51415000258346,3.52887141932164,7.49942858584529,ETWFE
3,7.71387359610689,5.65077488884891,9.77697230336486,ETWFE
4,10.0797357018015,8.05330362029342,12.1061677833096,ETWFE
5,12.3639297382408,10.2555138412555,14.472345635226,ETWFE
6,17.6084652292331,15.5498378306317,19.6670926278346,ETWFE
7,22.5201412537783,20.3648370967187,24.6754454108378,ETWFE
1,2.45495676495312,0.650046689230099,4.25986684067613,ETWFE_manual
2,4.68170848418534,2.81075482546689,6.55266214290379,ETWFE_manual
3,6.98428080068391,5.00647517262669,8.96208642874113,ETWFE_manual
4,9.3501429063785,7.40236369707112,11.2979221156859,ETWFE_manual
5,11.6343369428178,9.61815784759984,13.6505160380357,ETWFE_manual
6,16.6576949020212,14.6808495613527,18.6345402426897,ETWFE_manual
7,21.2108275233943,19.1796828200141,23.2419722267745,ETWFE_manual
-3,-0.674550700604678,-2.68793555749137,1.33883415628201,Stacked
-2,-2.51902326404933,-4.53631386391687,-0.501732664181785,Stacked
-1,-1.82083576239233,-3.85085065356369,0.209179128779033,Stacked
0,0.13312537014513,-1.83813730373287,2.10438804402313,Stacked
1,1.2895893042026,-0.676070284777274,3.25524889318248,Stacked
2,3.28061848971947,1.33528903895536,5.22594794048358,Stacked
3,5.49558184556508,3.52649344365579,7.46467024747438,Stacked
4,7.84658671505144,5.89475226523497,9.7984211648679,Stacked
5,10.0714889165666,8.09226377850003,12.0507140546332,Stacked
6,14.236931535677,12.0496901543768,16.4241729169771,Stacked
7,17.637366265222,15.1236431470556,20.1510893833884,Stacked
-4,0,0,0,Stacked
-3,0.396246108506318,-2.61697278779972,3.40946500481236,CS
-2,-0.518831338965729,-2.71609914621438,1.67843646828292,CS
-1,0.711096956646311,-0.940346402355211,2.36254031564783,CS
0,1.93953799834086,0.210282587824302,3.66879340885742,CS
1,3.09392971125229,1.19477564523368,4.99308377727091,CS
2,5.05866073537335,3.09819472376621,7.01912674698049,CS
3,7.27852749940236,5.21853358766105,9.33852141114366,CS
4,9.62448204559225,7.49751699840877,11.7514470927757,CS
5,11.8282884044066,9.88281064194803,13.7737661668652,CS
6,17.706774575213,15.2667452711636,20.1468038792625,CS
7,22.10860659179,18.4816312375207,25.7355819460593,CS
-4,0,0,0,CS
