"","t","estimate","conf.low","conf.high","method"
"1",-3,-1.03567913906647,-2.78671863949136,0.715360361358421,"TWFE"
"2",-2,-3.01869101901846,-4.85993533935485,-1.17744669868207,"TWFE"
"3",-1,-2.80616134885387,-4.75265968238817,-0.859663015319571,"TWFE"
"4",0,-1.15589744865356,-3.0504748158855,0.738679918578375,"TWFE"
"5",1,-0.448035510195044,-2.35769255386915,1.46162153347906,"TWFE"
"6",2,1.67619929467593,-0.208528471653551,3.56092706100541,"TWFE"
"7",3,3.9210983275194,2.00246828211498,5.83972837292383,"TWFE"
"8",4,6.60604360647211,4.68692975255797,8.52515746038626,"TWFE"
"9",5,9.43627806613417,7.47639812865836,11.39615800361,"TWFE"
"10",6,13.9944050182473,11.8158670130746,16.1729430234199,"TWFE"
"11",7,18.3676124178192,15.850311468787,20.8849133668514,"TWFE"
"12",-4,0,0,0,"TWFE"
"13",-999,0,0,0,"TWFE"
