PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Adalja, A; Liaukonyte, J; Wang, E; Zhu, XR				Adalja, Aaron; Liaukonyte, Jura; Wang, Emily; Zhu, Xinrong			GMO and Non-GMO Labeling Effects: Evidence from a Quasi-Natural Experiment br	MARKETING SCIENCE																		Liaukonyte, Jura/0000-0002-9820-8832													0732-2399	1526-548X				2022 AUG 29	2022										10.1287/mksc.2022.1375	http://dx.doi.org/10.1287/mksc.2022.1375		AUG 2022											WOS:000849339800001
J	Bonfrer, A; Chintagunta, PK; Roberts, JH; Corkindale, D				Bonfrer, Andre; Chintagunta, Pradeep K.; Roberts, John H.; Corkindale, David			Assessing the Sales Impact of Plain Packaging Regulation for Cigarettes: Evidence from Australia	MARKETING SCIENCE																	Corkindale, David R/H-9574-2012	Corkindale, David R/0000-0002-0106-2954; Roberts, John/0000-0002-8662-584X													0732-2399	1526-548X				JAN-FEB	2020	39	1			SI		234	252		10.1287/mksc.2019.1164	http://dx.doi.org/10.1287/mksc.2019.1164													WOS:000513850000011
J	Goli, A; Chintagunta, PK				Goli, Ali; Chintagunta, Pradeep K.			What Happens When a Retailer Drops a Product Category? Investigating the Consequences of Ending Tobacco Sales	MARKETING SCIENCE																															0732-2399	1526-548X				NOV-DEC	2021	40	6					1169	1198		10.1287/mksc.2021.1299	http://dx.doi.org/10.1287/mksc.2021.1299													WOS:000729208200009
J	Bommaraju, R; Hohenberg, S				Bommaraju, Raghu; Hohenberg, Sebastian			Self-Selected Sales Incentives: Evidence of their Effectiveness, Persistence, Durability, and Underlying Mechanisms	JOURNAL OF MARKETING																	Hohenberg, Sebastian/AAB-2616-2021														0022-2429	1547-7185				SEP	2018	82	5					106	124		10.1509/jm.17.0002	http://dx.doi.org/10.1509/jm.17.0002													WOS:000442413200006
J	Rossi, F; Chintagunta, PK				Rossi, Federico; Chintagunta, Pradeep K.			Price Transparency and Retail Prices: Evidence from Fuel Price Signs in the Italian Highway System	JOURNAL OF MARKETING RESEARCH																	Chintagunta, Pradeep K/A-4764-2017	Chintagunta, Pradeep/0000-0003-2854-5216													0022-2437	1547-7193				JUN	2016	53	3					407	423		10.1509/jmr.14.0411	http://dx.doi.org/10.1509/jmr.14.0411													WOS:000377983300008
J	Goli, A; Chintagunta, PK; Sriram, S				Goli, Ali; Chintagunta, Pradeep K.; Sriram, S.			Effects of Payment on User Engagement in Online Courses	JOURNAL OF MARKETING RESEARCH																															0022-2437	1547-7193				FEB	2022	59	1			SI		11	34	00222437211016360	10.1177/00222437211016360	http://dx.doi.org/10.1177/00222437211016360		SEP 2021											WOS:000704313300001
J	Shi, HH; Sridhar, S; Grewal, R; Lilien, G				Shi, Huanhuan; Sridhar, Shrihari; Grewal, Rajdeep; Lilien, Gary			Sales Representative Departures and Customer Reassignment Strategies in Business-to-Business Markets	JOURNAL OF MARKETING																	Shi, Huanhuan/IYJ-5455-2023	Shi, Huanhuan/0000-0003-1999-2399													0022-2429	1547-7185				MAR	2017	81	2					25	44		10.1509/jm.15.0358	http://dx.doi.org/10.1509/jm.15.0358													WOS:000397791200003
J	Tirunillai, S; Tellis, GJ				Tirunillai, Seshadri; Tellis, Gerard J.			Does Offline TV Advertising Affect Online Chatter? Quasi-Experimental Analysis Using Synthetic Control	MARKETING SCIENCE																															0732-2399	1526-548X				NOV-DEC	2017	36	6					862	878		10.1287/mksc.2017.1040	http://dx.doi.org/10.1287/mksc.2017.1040													WOS:000423123200005
J	Kumar, A; Bezawada, R; Rishika, R; Janakiraman, R; Kannan, PK				Kumar, Ashish; Bezawada, Ram; Rishika, Rishika; Janakiraman, Ramkumar; Kannan, P. K.			From Social to Sale: The Effects of Firm-Generated Content in Social Media on Customer Behavior	JOURNAL OF MARKETING																	Kumar, Ashish/G-2307-2013; Kannan, Pallassana K/D-8192-2011	Bezawada, Ram/0000-0003-1395-9133													0022-2429	1547-7185				JAN	2016	80	1					7	25		10.1509/jm.14.0249	http://dx.doi.org/10.1509/jm.14.0249													WOS:000373474300001
J	Guo, T; Sriram, S; Manchanda, P				Guo, Tong; Sriram, Srinivasaraghavan; Manchanda, Puneet			"Let the Sunshine In": The Impact of Industry Payment Disclosure on Physician Prescription Behavior	MARKETING SCIENCE																	Guo, Tong/IXE-0074-2023	Guo, Tong/0000-0002-3171-2890													0732-2399	1526-548X				MAY-JUN	2020	39	3			SI		516	539		10.1287/mksc.2019.1181	http://dx.doi.org/10.1287/mksc.2019.1181													WOS:000538776200005
J	He, C; Ozturk, OC; Gu, C; Silva-Risso, JM				He, Cheng; Ozturk, O. Cem; Gu, Chris; Silva-Risso, Jorge Mario			The End of the Express Road for Hybrid Vehicles: Can Governments' Green Product Incentives Backfire?	MARKETING SCIENCE																															0732-2399	1526-548X				JAN-FEB	2021	40	1					80	100		10.1287/mksc.2020.1239	http://dx.doi.org/10.1287/mksc.2020.1239													WOS:000614609400006
J	Chu, YL; Chu, JH; Liu, HJ				Chu, Yanlai; Chu, Junhong; Liu, Hongju			The impact of mergers and acquisitions on brand equity: A structural analysis	INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING																	Chu, Junhong/ABE-1649-2021														0167-8116	1873-8001				SEP	2021	38	3					615	638		10.1016/j.ijresmar.2020.11.006	http://dx.doi.org/10.1016/j.ijresmar.2020.11.006		SEP 2021											WOS:000697053200005
J	Eggert, A; Steinhoff, L; Witte, C				Eggert, Andreas; Steinhoff, Lena; Witte, Carina			Gift Purchases as Catalysts for Strengthening Customer-Brand Relationships	JOURNAL OF MARKETING																															0022-2429	1547-7185				SEP	2019	83	5					115	132		10.1177/0022242919860802	http://dx.doi.org/10.1177/0022242919860802													WOS:000481446700009
J	Tamaddoni, A; Seenivasan, S; Pallant, JI; Skiera, B				Tamaddoni, Ali; Seenivasan, Satheesh; Pallant, Jason I.; Skiera, Bernd			Investigating the effect of status changes in review platforms	INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING																		Pallant, Jason/0000-0002-1000-6719													0167-8116	1873-8001				MAR	2023	40	1					189	209		10.1016/j.ijresmar.2022.07.001	http://dx.doi.org/10.1016/j.ijresmar.2022.07.001		MAR 2023											WOS:000955837600001
J	Gopalakrishnan, A; Jiang, ZL; Nevskaya, Y; Thomadsen, R				Gopalakrishnan, Arun; Jiang, Zhenling; Nevskaya, Yulia; Thomadsen, Raphael			Can Non-tiered Customer Loyalty Programs Be Profitable?	MARKETING SCIENCE																	Jiang, Zhenling/GZL-6495-2022; Nevskaya, Yulia/GRF-1148-2022	Gopalakrishnan, Arun/0000-0002-9222-3943; Nevskaya, Yulia/0000-0001-5975-6919													0732-2399	1526-548X				MAY-JUN	2021	40	3					508	526		10.1287/mksc.2020.1268	http://dx.doi.org/10.1287/mksc.2020.1268													WOS:000659449900007
J	Goldfarb, A; Tucker, C; Wang, YW				Goldfarb, Avi; Tucker, Catherine; Wang, Yanwen			Conducting Research in Marketing with Quasi-Experiments	JOURNAL OF MARKETING																		/0000-0002-1847-4832													0022-2429	1547-7185				MAY	2022	86	3					1	20		10.1177/00222429221082977	http://dx.doi.org/10.1177/00222429221082977													WOS:000777444100001
J	Che, XG; Katayama, H; Lee, PT				Che, Xiaogang; Katayama, Hajime; Lee, Peter			Product-Harm Crises and Spillover Effects: A Case Study of the Volkswagen Diesel Emissions Scandal in eBay Used Car Auction Markets	JOURNAL OF MARKETING RESEARCH																		Katayama, Hajime/0000-0001-6529-8926													0022-2437	1547-7193				APR	2023	60	2					409	424		10.1177/00222437221115616	http://dx.doi.org/10.1177/00222437221115616		NOV 2022											WOS:000890553100001
J	Osinga, EC; Zevenbergen, M; van Zuijlen, MWG				Osinga, Ernst C.; Zevenbergen, Menno; van Zuijlen, Mark W. G.			Do mobile banner ads increase sales? Yes, in the offline channel	INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING																															0167-8116	1873-8001				SEP	2019	36	3			SI		439	453		10.1016/j.ijresmar.2019.02.001	http://dx.doi.org/10.1016/j.ijresmar.2019.02.001													WOS:000501622900007
J	Boichuk, JP; Bommaraju, R; Ahearne, M; Kraus, F; Steenburgh, TJ				Boichuk, Jeffrey P.; Bommaraju, Raghu; Ahearne, Michael; Kraus, Florian; Steenburgh, Thomas J.			Managing Laggards: The Importance of a Deep Sales Bench	JOURNAL OF MARKETING RESEARCH																	Boichuk, Jeffrey P/B-8289-2014	Boichuk, Jeffrey P/0000-0001-9990-9879; Kraus, Florian/0000-0001-6807-6544													0022-2437	1547-7193				AUG	2019	56	4					652	665		10.1177/0022243718824561	http://dx.doi.org/10.1177/0022243718824561													WOS:000474704400007
J	Sen, A; Tucker, C				Sen, Ananya; Tucker, Catherine			Product Quality and Performance in the Internet Age: Evidence from Creationist-Friendly Curriculum	JOURNAL OF MARKETING RESEARCH																															0022-2437	1547-7193				FEB	2022	59	1			SI		211	229		10.1177/0022243720971579	http://dx.doi.org/10.1177/0022243720971579													WOS:000745068400012
J	Fisher, ML; Gallino, S; Xu, JJQ				Fisher, Marshall L.; Gallino, Santiago; Xu, Joseph Jiaqi			The Value of Rapid Delivery in Omnichannel Retailing	JOURNAL OF MARKETING RESEARCH																															0022-2437	1547-7193				OCT	2019	56	5					732	748		10.1177/0022243719849940	http://dx.doi.org/10.1177/0022243719849940													WOS:000486226600002
J	Chan, T; Hamdi, N; Hui, X; Jiang, ZL				Chan, Tat; Hamdi, Naser; Hui, Xiang; Jiang, Zhenling			The Value of Verified Employment Data for Consumer Lending: Evidence from Equifax	MARKETING SCIENCE																	Jiang, Zhenling/GZL-6495-2022														0732-2399	1526-548X				JUL-AUG	2022	41	4					367	386		10.1287/mksc.2021.1335	http://dx.doi.org/10.1287/mksc.2021.1335		DEC 2021											WOS:000737452800001
J	Hinnosaar, M				Hinnosaar, Marit			The Persistence of Healthy Behaviors in Food Purchasing	MARKETING SCIENCE																															0732-2399	1526-548X				2022 SEP 2	2022										10.1287/mksc.2022.1396	http://dx.doi.org/10.1287/mksc.2022.1396		SEP 2022											WOS:000852292700001
J	Mantin, B; Rubin, E				Mantin, Benny; Rubin, Eran			Fare Prediction Websites and Transaction Prices: Empirical Evidence from the Airline Industry	MARKETING SCIENCE																		Mantin, Benny/0000-0002-5206-7851													0732-2399	1526-548X				JUL-AUG	2016	35	4					640	655		10.1287/mksc.2015.0965	http://dx.doi.org/10.1287/mksc.2015.0965													WOS:000380583000007
J	Iyengar, R; Park, YH; Yu, Q				Iyengar, Raghuram; Park, Young-Hoon; Yu, Qi			The Impact of Subscription Programs on Customer Purchases	JOURNAL OF MARKETING RESEARCH																		Yu, Qi/0000-0001-7889-0806													0022-2437	1547-7193				DEC	2022	59	6					1101	1119	00222437221080163	10.1177/00222437221080163	http://dx.doi.org/10.1177/00222437221080163		APR 2022											WOS:000789426100001
J	Puranam, D; Narayan, V; Kadiyali, V				Puranam, Dinesh; Narayan, Vishal; Kadiyali, Vrinda			The Effect of Calorie Posting Regulation on Consumer Opinion: A Flexible Latent Dirichlet Allocation Model with Informative Priors	MARKETING SCIENCE																	Narayan, Vishal/A-5182-2016														0732-2399	1526-548X				SEP-OCT	2017	36	5					726	746		10.1287/mksc.2017.1048	http://dx.doi.org/10.1287/mksc.2017.1048													WOS:000416388900005
